"Date","Occurences"
"2021-02-27","1"
"2021-02-27","2"
"2021-02-27","0"
"2021-02-27","9"
"2021-02-24","4"
"2021-02-24","1"
"2021-02-23","0"
"2021-02-22","5"
"2021-02-20","2"
"2021-02-20","2"
"2021-02-20","0"
"2021-02-20","1"
"2021-02-20","0"
"2021-02-20","0"
"2021-02-20","24"
"2021-02-16","1"
"2021-02-13","0"
"2021-02-13","21"
"2021-02-13","14"
"2021-02-13","1"
"2021-02-13","0"
"2021-02-11","0"
"2021-02-08","7"
"2021-02-06","1"
"2021-02-06","0"
"2021-02-06","1"
"2021-02-06","2"
"2021-02-06","7"
"2021-02-04","2"
"2021-02-02","0"
"2021-02-01","0"
"2021-01-30","1"
"2021-01-30","1"
"2021-01-30","1"
"2021-01-30","9"
"2021-01-30","12"
"2021-01-29","0"
"2021-01-26","4"
"2021-01-25","3"
"2021-01-23","2"
"2021-01-23","2"
"2021-01-21","2"
"2021-01-21","12"
"2021-01-21","0"
"2021-01-20","3"
"2021-01-19","27"
"2021-01-18","11"
"2021-01-16","0"
"2021-01-16","0"
"2021-01-16","7"
"2021-01-16","2"
"2021-01-16","8"
"2021-01-13","14"
"2021-01-12","6"
"2021-01-12","2"
"2021-01-09","0"
"2021-01-09","0"
"2021-01-09","10"
"2021-01-09","0"
"2021-01-09","11"
"2021-01-07","0"
"2021-01-06","12"
"2021-01-02","7"
"2021-01-02","7"
"2021-01-02","17"
"2020-12-23","10"
"2020-12-19","1"
"2020-12-16","1"
"2020-12-16","3"
"2020-12-16","7"
"2020-12-12","4"
"2020-12-12","2"
"2020-12-10","0"
"2020-12-10","8"
"2020-12-10","1"
"2020-12-08","13"
"2020-12-07","2"
"2020-12-06","0"
"2020-12-05","12"
"2020-12-05","13"
"2020-12-05","3"
"2020-12-03","1"
"2020-12-03","6"
"2020-12-03","2"
"2020-12-03","0"
"2020-11-30","1"
"2020-11-28","0"
"2020-11-28","2"
"2020-11-26","7"
"2020-11-26","0"
"2020-11-26","0"
"2020-11-26","7"
"2020-11-24","9"
"2020-11-21","0"
"2020-11-21","11"
"2020-11-19","5"
"2020-11-19","0"
"2020-11-19","0"
"2020-11-19","3"
"2020-11-19","0"
"2020-11-18","17"
"2020-11-16","2"
"2020-11-15","5"
"2020-11-14","1"
"2020-11-14","6"
"2020-11-14","1"
"2020-11-14","0"
"2020-11-14","16"
"2020-11-14","12"
"2020-11-12","5"
"2020-11-11","3"
"2020-11-07","2"
"2020-11-07","3"
"2020-11-05","9"
"2020-11-05","11"
"2020-11-04","5"
"2020-11-03","0"
"2020-10-31","9"
"2020-10-31","3"
"2020-10-29","2"
"2020-10-29","1"
"2020-10-29","15"
"2020-10-29","2"
"2020-10-28","1"
"2020-10-24","8"
"2020-10-24","0"
"2020-10-24","2"
"2020-10-22","1"
"2020-10-22","0"
"2020-10-22","3"
"2020-10-22","0"
"2020-10-22","0"
"2020-10-15","5"
"2020-10-15","2"
"2020-10-15","4"
"2020-10-12","5"
"2020-10-11","11"
"2020-10-10","4"
"2020-10-08","0"
"2020-10-08","19"
"2020-10-08","0"
"2020-10-08","3"
"2020-10-08","0"
"2020-10-05","1"
"2020-10-08","0"
"2020-10-08","3"
"2020-10-08","0"
"2020-10-05","1"
"2020-10-03","3"
"2020-10-03","1"
"2020-10-03","1"
"2020-10-03","7"
"2020-10-03","7"
"2020-10-03","3"
"2020-10-03","0"
"2020-09-30","13"
"2020-09-24","3"
"2020-09-24","13"
"2020-09-19","8"
"2020-09-19","0"
"2020-09-19","4"
"2020-09-17","2"
"2020-09-17","0"
"2020-09-17","8"
"2020-09-17","0"
"2020-09-16","13"
"2020-09-12","0"
"2020-09-12","1"
"2020-09-12","2"
"2020-09-12","5"
"2020-09-10","0"
"2020-09-10","0"
"2020-09-10","0"
"2020-09-10","1"
"2020-09-05","1"
"2020-09-05","2"
"2020-09-03","7"
"2020-09-03","1"
"2020-09-03","0"
"2020-09-03","0"
"2020-09-03","7"
"2020-09-03","1"
"2020-09-03","0"
"2020-09-03","0"
"2020-09-03","8"
"2020-08-30","1"
"2020-08-29","0"
"2020-08-29","2"
"2020-08-27","4"
"2020-08-27","17"
"2020-08-27","0"
"2020-08-27","8"
"2020-08-20","6"
"2020-08-20","17"
"2020-08-19","2"
"2020-08-15","8"
"2020-08-13","4"
"2020-08-13","2"
"2020-08-13","7"
"2020-08-13","5"
"2020-08-13","1"
"2020-08-08","2"
"2020-08-06","5"
"2020-08-06","12"
"2020-08-13","5"
"2020-08-13","1"
"2020-08-08","2"
"2020-08-06","5"
"2020-08-06","12"
"2020-08-06","0"
"2020-08-06","4"
"2020-08-04","5"
"2020-08-01","2"
"2020-08-01","9"
"2020-08-01","5"
"2020-07-30","3"
"2020-07-30","5"
"2020-07-30","1"
"2020-07-30","0"
"2020-07-30","6"
"2020-07-25","11"
"2020-07-23","7"
"2020-07-23","2"
"2020-07-23","5"
"2020-07-23","21"
"2020-07-23","0"
"2020-07-18","12"
"2020-07-18","3"
"2020-07-18","13"
"2020-07-18","6"
"2020-07-18","2"
"2020-07-18","7"
"2020-07-18","7"
"2020-07-11","9"
"2020-07-11","6"
"2020-07-09","1"
"2020-07-09","0"
"2020-07-09","3"
"2020-07-09","19"
"2020-07-07","2"
"2020-07-04","0"
"2020-07-04","2"
"2020-07-02","1"
"2020-07-02","6"
"2020-07-02","1"
"2020-07-02","10"
"2020-07-02","18"
"2020-06-25","4"
"2020-06-25","0"
"2020-06-25","0"
"2020-06-25","4"
"2020-06-25","3"
"2020-06-25","2"
"2020-06-25","3"
"2020-06-23","1"
"2020-06-18","2"
"2020-06-18","3"
"2020-06-18","1"
"2020-06-18","7"
"2020-06-18","6"
"2020-06-18","6"
"2020-06-18","0"
"2020-06-18","2"
"2020-06-15","1"
"2020-06-13","4"
"2020-06-11","2"
"2020-06-11","7"
"2020-06-11","3"
"2020-06-11","8"
"2020-06-11","4"
"2020-06-11","7"
"2020-06-06","6"
"2020-06-05","7"
"2020-06-04","2"
"2020-06-04","2"
"2020-06-04","20"
"2020-05-30","4"
"2020-05-30","0"
"2020-05-30","8"
"2020-05-28","2"
"2020-05-28","1"
"2020-05-28","8"
"2020-05-28","18"
"2020-05-25","0"
"2020-05-23","0"
"2020-05-23","8"
"2020-05-23","2"
"2020-05-21","2"
"2020-05-23","0"
"2020-05-23","8"
"2020-05-23","2"
"2020-05-21","2"
"2020-05-21","3"
"2020-05-21","3"
"2020-05-16","3"
"2020-05-16","5"
"2020-05-14","0"
"2020-05-14","0"
"2020-05-14","1"
"2020-05-14","6"
"2020-05-09","2"
"2020-05-09","1"
"2020-05-07","2"
"2020-05-07","6"
"2020-05-07","6"
"2020-05-07","1"
"2020-05-07","4"
"2020-05-05","0"
"2020-05-03","13"
"2020-05-02","1"
"2020-05-02","14"
"2020-05-02","13"
"2020-04-25","2"
"2020-04-25","8"
"2020-04-25","0"
"2020-04-23","0"
"2020-04-18","1"
"2020-04-18","12"
"2020-04-18","3"
"2020-04-16","5"
"2020-04-16","11"
"2020-04-16","1"
"2020-04-13","2"
"2020-04-11","2"
"2020-04-11","3"
"2020-04-08","4"
"2020-04-08","0"
"2020-04-08","0"
"2020-04-08","2"
"2020-04-04","2"
"2020-04-04","4"
"2020-04-04","0"
"2020-04-03","0"
"2020-04-03","1"
"2020-04-02","5"
"2020-03-31","0"
"2020-03-26","2"
"2020-03-26","0"
"2020-03-26","5"
"2020-03-26","2"
"2020-03-26","0"
"2020-03-26","7"
"2020-03-25","7"
"2020-03-21","0"
"2020-03-21","1"
"2020-03-21","0"
"2020-03-21","5"
"2020-03-21","3"
"2020-03-21","0"
"2020-03-21","1"
"2020-03-21","0"
"2020-03-21","5"
"2020-03-21","3"
"2020-03-19","16"
"2020-03-16","5"
"2020-03-14","0"
"2020-03-14","1"
"2020-03-14","10"
"2020-03-12","6"
"2020-03-12","15"
"2020-03-12","3"
"2020-03-12","2"
"2020-03-11","0"
"2020-03-09","5"
"2020-03-09","6"
"2020-03-07","0"
"2020-03-05","13"
"2020-03-05","3"
"2020-03-05","1"
"2020-03-05","15"
"2020-03-05","1"
"2020-03-05","6"
"2020-02-27","0"
"2020-02-27","1"
"2020-02-27","2"
"2020-02-27","1"
"2020-02-27","7"
"2020-02-27","4"
"2020-02-22","16"
"2020-02-22","0"
"2020-02-22","0"
"2020-02-22","21"
"2020-02-20","0"
"2020-02-20","2"
"2020-02-22","0"
"2020-02-22","21"
"2020-02-20","0"
"2020-02-20","2"
"2020-02-20","3"
"2020-02-20","2"
"2020-02-20","0"
"2020-02-15","1"
"2020-02-15","2"
"2020-02-15","0"
"2020-02-15","0"
"2020-02-13","19"
"2020-02-13","1"
"2020-02-13","0"
"2020-02-08","0"
"2020-02-07","1"
"2020-02-06","0"
"2020-02-06","13"
"2020-02-06","7"
"2020-02-06","2"
"2020-02-06","1"
"2020-02-06","5"
"2020-02-06","0"
"2020-02-04","14"
"2020-02-01","18"
"2020-02-01","0"
"2020-01-30","2"
"2020-01-30","14"
"2020-01-30","0"
"2020-01-30","2"
"2020-01-30","0"
"2020-01-25","0"
"2020-01-25","8"
"2020-01-25","7"
"2020-01-25","22"
"2020-01-23","1"
"2020-01-16","3"
"2020-01-16","5"
"2020-01-16","2"
"2020-01-16","6"
"2020-01-16","0"
"2020-01-16","2"
"2020-01-11","7"
"2020-01-09","5"
"2020-01-09","5"
"2020-01-09","0"
"2020-01-09","6"
"2020-01-09","3"
"2020-01-09","5"
"2020-01-09","0"
"2020-01-09","6"
"2020-01-09","3"
"2020-01-09","8"
"2020-01-09","1"
"2020-01-04","4"
"2020-01-02","6"
"2020-01-02","17"
"2020-01-02","1"
"2020-01-02","0"
"2020-01-02","2"
"2019-12-25","7"
"2019-12-18","3"
"2019-12-18","2"
"2019-12-18","1"
"2019-12-18","3"
"2019-12-18","5"
"2019-12-14","5"
"2019-12-14","6"
"2019-12-12","5"
"2019-12-12","6"
"2019-12-12","3"
"2019-12-12","2"
"2019-12-07","1"
"2019-12-05","2"
"2019-12-05","10"
"2019-12-05","3"
"2019-12-05","3"
"2019-12-05","8"
"2019-12-05","5"
"2019-12-05","7"
"2019-12-05","24"
"2019-12-03","0"
"2019-11-28","2"
"2019-11-28","0"
"2019-11-28","1"
"2019-11-28","10"
"2019-11-25","0"
"2019-11-23","4"
"2019-11-21","0"
"2019-11-21","7"
"2019-11-21","8"
"2019-11-21","1"
"2019-11-21","0"
"2019-11-21","5"
"2019-11-21","3"
"2019-11-16","5"
"2019-11-21","1"
"2019-11-21","0"
"2019-11-21","5"
"2019-11-21","3"
"2019-11-16","5"
"2019-11-14","2"
"2019-11-14","3"
"2019-11-14","0"
"2019-11-14","0"
"2019-11-14","8"
"2019-11-14","3"
"2019-11-14","1"
"2019-11-14","0"
"2019-11-07","9"
"2019-11-07","2"
"2019-11-07","0"
"2019-11-07","2"
"2019-11-07","13"
"2019-11-07","1"
"2019-11-07","10"
"2019-11-07","1"
"2019-11-07","3"
"2019-11-02","4"
"2019-11-02","4"
