"Date","Occurences"
"2021-02-25","22"
"2021-02-25","2"
"2021-02-25","11"
"2021-02-25","5"
"2021-02-25","21"
"2021-02-25","27"
"2021-02-24","2"
"2021-02-24","4"
"2021-02-24","0"
"2021-02-23","6"
"2021-02-23","4"
"2021-02-23","62"
"2021-02-23","7"
"2021-02-23","4"
"2021-02-23","0"
"2021-02-23","0"
"2021-02-23","3"
"2021-02-22","2"
"2021-02-22","5"
"2021-02-22","8"
"2021-02-21","18"
"2021-02-21","14"
"2021-02-21","2"
"2021-02-20","2"
"2021-02-19","6"
"2021-02-19","6"
"2021-02-19","2"
"2021-02-19","4"
"2021-02-19","11"
"2021-02-19","12"
"2021-02-18","19"
"2021-02-18","6"
"2021-02-18","2"
"2021-02-18","0"
"2021-02-18","5"
"2021-02-17","9"
"2021-02-17","51"
"2021-02-17","4"
"2021-02-17","7"
"2021-02-17","6"
"2021-02-17","3"
"2021-02-16","20"
"2021-02-16","4"
"2021-02-16","4"
"2021-02-16","2"
"2021-02-16","14"
"2021-02-15","2"
"2021-02-15","4"
"2021-02-15","41"
"2021-02-15","3"
"2021-02-15","3"
"2021-02-15","11"
"2021-02-14","2"
"2021-02-14","18"
"2021-02-14","8"
"2021-02-14","1"
"2021-02-13","12"
"2021-02-13","2"
"2021-02-12","2"
"2021-02-12","61"
"2021-02-12","4"
"2021-02-12","2"
"2021-02-12","4"
"2021-02-12","23"
"2021-02-12","0"
"2021-02-12","7"
"2021-02-11","0"
"2021-02-11","2"
"2021-02-11","0"
"2021-02-10","2"
"2021-02-10","15"
"2021-02-10","7"
"2021-02-10","9"
"2021-02-09","16"
"2021-02-09","19"
"2021-02-09","10"
"2021-02-08","15"
"2021-02-08","10"
"2021-02-07","14"
"2021-02-07","2"
"2021-02-07","2"
"2021-02-07","9"
"2021-02-07","5"
"2021-02-07","3"
"2021-02-06","2"
"2021-02-05","3"
"2021-02-05","6"
"2021-02-05","12"
"2021-02-04","2"
"2021-02-04","2"
"2021-02-04","19"
"2021-02-04","12"
"2021-02-04","0"
"2021-02-04","0"
"2021-02-04","2"
"2021-02-03","2"
"2021-02-03","16"
"2021-02-03","5"
"2021-02-03","9"
"2021-02-03","0"
"2021-02-03","0"
"2021-02-03","2"
"2021-02-03","6"
"2021-02-03","14"
"2021-02-03","0"
"2021-02-02","6"
"2021-02-02","5"
"2021-02-01","6"
"2021-02-01","22"
"2021-02-01","3"
"2021-01-31","8"
"2021-01-31","5"
"2021-01-31","2"
"2021-01-31","0"
"2021-01-31","3"
"2021-01-31","4"
"2021-01-30","2"
"2021-01-30","14"
"2021-01-29","15"
"2021-01-29","18"
"2021-01-29","9"
"2021-01-29","6"
"2021-01-29","17"
"2021-01-28","20"
"2021-01-28","56"
"2021-01-28","9"
"2021-01-27","9"
"2021-01-27","16"
"2021-01-27","3"
"2021-01-27","6"
"2021-01-26","3"
"2021-01-26","41"
"2021-01-26","5"
"2021-01-26","4"
"2021-01-26","3"
"2021-01-25","3"
"2021-01-25","9"
"2021-01-25","28"
"2021-01-25","5"
"2021-01-25","4"
"2021-01-25","5"
"2021-01-25","10"
"2021-01-24","11"
"2021-01-24","1"
"2021-01-24","8"
"2021-01-23","2"
"2021-01-23","2"
"2021-01-23","4"
"2021-01-22","11"
"2021-01-22","23"
"2021-01-22","5"
"2021-01-22","20"
"2021-01-22","2"
"2021-01-21","19"
"2021-01-20","44"
"2021-01-20","2"
"2021-01-20","3"
"2021-01-20","11"
"2021-01-19","44"
"2021-01-19","5"
"2021-01-19","2"
"2021-01-19","21"
"2021-01-18","2"
"2021-01-18","26"
"2021-01-18","71"
"2021-01-18","2"
"2021-01-17","6"
"2021-01-17","1"
"2021-01-17","1"
"2021-01-17","1"
"2021-01-16","2"
